날짜,휴일명
20230101,1월1일
20230121,설날
20230122,설날
20230123,설날
20230124,대체공휴일
20230301,삼일절
20230505,어린이날
20230527,부처님오신날
20230529,대체공휴일
20230606,현충일
20230815,광복절
20230928,추석
20230929,추석
20230930,추석
20231002,임시공휴일
20231003,개천절
20231009,한글날
20231225,기독탄신일
20240101,1월1일
20240209,설날
20240210,설날
20240211,설날
20240212,대체공휴일(설날)
20240301,삼일절
20240410,국회의원선거
20240505,어린이날
20240506,대체공휴일(어린이날)
20240515,부처님오신날
20240606,현충일
20240815,광복절
20240916,추석
20240917,추석
20240918,추석
20241001,임시공휴일
20241003,개천절
20241009,한글날
20241225,기독탄신일
20250101,1월1일
20250127,임시공휴일
20250128,설날
20250129,설날
20250130,설날
20250301,삼일절
20250303,대체공휴일
20250505,어린이날
20250505,부처님오신날
20250506,대체공휴일
20250603,임시공휴일(제21대 대통령 선거)
20250606,현충일
20250815,광복절
20251003,개천절
20251005,추석
20251006,추석
20251007,추석
20251008,대체공휴일
20251009,한글날
20251225,기독탄신일
20260101,1월1일
20260216,설날
20260217,설날
20260218,설날
20260301,삼일절
20260302,대체공휴일(삼일절)
20260505,어린이날
20260524,부처님오신날
20260525,대체공휴일(부처님오신날)
20260603,전국동시지방선거
20260606,현충일
20260815,광복절
20260817,대체공휴일(광복절)
20260924,추석
20260925,추석
20260926,추석
20261003,개천절
20261005,대체공휴일(개천절)
20261009,한글날
20261225,기독탄신일
